"corpus","preloaded/nltenten20_tt3"
"subcorpus","-"
"concordance size","208791"
"query","Query:[lc=""Tilburg"" | lemma_lc=""Tilburg""]"
"Reference","Left","KWIC","Right"
"omroeptilburg.nl","Tilburgse straten even voor wat het is en blijven we gewoon binnen. </s><s> Pieter Bon spreekt af met Freek Reffeltrath van VVD","Tilburg",". </s><s> Behalve raadslid is Freek ook voorzitter van... </s><s> Soortfactsheet </s><s> De gewone dwergvleermuis is de meest voorkomende"
"maakdeswitch.nl","platform voor een verantwoorde lifestyle </s><s> In de regio </s><s> Wereldpodium Een podium waarop de wereld te gast is. </s><s> Gestart in","Tilburg",", in juni 2007, betrekt het Wereldpodium mensen bij internationale ontwikkelingen. </s><s> Met name bij ontwikkelingen die"
"devriesboeken.nl","Nicolaes Tulp. </s><s> Hans Dooremalen is als wetenschapsfilosoof en philosopher of mind verbonden aan de Universiteit van","Tilburg",". </s><s> Hij is medeauteur van succesvolle boeken als Wat een onzin! en Exploring Humans. </s><s> In 2018 verscheen zijn filosofische"
"ageno.nl","aspecten te maken hebben, moeten goed uitgerust en fit zijn. </s><s> Onderzoek van o.a. Nicole Mead van de Universiteit van","Tilburg","heeft uitgewezen dat bij mentaal vermoeide mensen het onderscheid tussen goed en slecht wegvalt. </s><s> De zelfdiscipline"
"omroeptilburg.nl","tot juni, en om die reden heeft H-B nu Backstage Backyard Blues met Mattanja Bradley als zonnige pleister op de wonde. </s><s>","TILBURG","- Aangezien iedereen tijdens de coronacrisis zo veel mogelijk binnen moet blijven, bedacht Bjorn van Eeuwijk een"
"omroeptilburg.nl","van Eeuwijk een metalpubquiz. </s><s> De eerste editie vond al zo''n vier weken geleden plaats, maar door de vele positieve... </s><s>","TILBURG","- Het kruispunt Stappegoorweg / Tantraweg / Eifelweg wordt vervangen door een rotonde. </s><s> Vanaf 4 mei beginnen de"
"prinsesirenebrigade.nl","van de Oirschotse Heide via Zeelst, Oerle, het zwaar gehavende Middelbeers en Diessen richting Hilvarenbeek om","Tilburg","te bevrijden. </s><s> De Brigade stond hier onder bevel van de 15e Schotse Divisie. </s><s> Emotionele Intelligentie in bedrijf en"
"maakdeswitch.nl","uiteenlopende transitieprocessen die zich in Nederland afspelen. </s><s> 20-08 2013 | Op 7 september vindt in de Harmonie in","Tilburg","een event voor reizigers plaats. </s><s> Entree is gratis, aanvang 11.30 uur. </s><s> Meld je aan. </s><s> 05-08 2013 | In april 2013"
"maakdeswitch.nl","2 november 2013 spreekt Lilianne Ploumen, Minister voor Buitenlandse Handel en Ontwikkelingssamenwerking, in","Tilburg","de 4e Peerke Donderslezing uit. </s><s> Minister Ploumen buigt zich in haar lezing over de vraag hoe het bedrijfsleven de"
"maakdeswitch.nl","Cultuurnacht op 26 oktober speelt het Zuidelijk Toneel stukken over de betekenis van solidariteit anno nu in Theaters","Tilburg",". </s><s> 09-10 2013 | No future? </s><s> No way! </s><s> Tijdens de twaalfde editie van Dutch Design Week (DDW) in Eindhoven kun je met eigen ogen"
"maakdeswitch.nl","''Four Freedoms door het jaar heen'' is verschenen en laat de mooie resultaten van het afgelopen jaar zien. </s><s> 29-03 2016 |","Tilburg","is in 2016 Shelter City geworden. </s><s> Dat houdt in dat de stad voor 3 maanden onderdak biedt aan een"
"maakdeswitch.nl","hij/zij tot rust komen, netwerken, cursussen volgen etcetera. </s><s> De landelijke coördinatie ligt bij Justice&Peace, in","Tilburg","zorgt Switch/ContourdeTwern voor een lokale invulling en begeleiding. </s><s> 04-12 2015 | Op maandag 14 december laten"
"maakdeswitch.nl","u en Wim de Wagt in gesprek tijdens de tweede Tegenlicht Meet Up ZLD. </s><s> 28-09 2015 | De afdeling MBO Horeca van De Rooi Pannen","Tilburg","serveert van 12 tot en met 16 oktober in haar restaurants aan de Dr. Ahausstraat 1 een bijzondere, heerlijke en eerlijke"
"maakdeswitch.nl","weten wat jij weet van ontwikkelingen in de wereld, hoe jij daar tegenaan kijkt en wat jij belangrijk vindt. </s><s> 14-02 2014 |","Tilburg","heeft voor het 2e jaar op rij de titel ''Fairtrade Gemeente'' ontvangen. </s><s> Dit heeft het Campagneteam Fairtrade Gemeenten"
"maakdeswitch.nl","opgezet. </s><s> Wekelijks worden schoonmaakartikelen met een bakfiets rondgebracht. </s><s> 30-05 2013 | Op 29 en 30 juni vindt in","Tilburg","Festival Mundial plaats, twee dagen muziek, dans en theater. </s><s> Upgraders zijn aanwezig tussen het publiek. </s><s> Twee teams"
